#
#
#
#
#X  Y  RA  Dec
1558.176022 22.643264 262.295747 42.494749
1467.639438 107.842462 262.381376 42.556890
1199.500351 109.737011 262.636599 42.570008
1793.384197 124.772527 262.075164 42.548760
1415.435748 191.447523 262.429589 42.614584
1977.031100 198.738725 261.909816 42.592503
630.365580 223.156747 263.164648 42.642456
1761.898595 233.869600 262.106845 42.627409
82.974295 296.205742 263.653500 42.662221
1938.838447 331.290186 261.949126 42.691106
1847.939496 335.525890 262.030812 42.696383
1189.752198 337.331964 262.637903 42.717024
1414.503404 354.543972 262.428418 42.722766
1929.166272 383.284393 261.959285 42.729058
938.684176 403.306860 262.869146 42.762505
1964.904451 410.145738 261.928346 42.748186
291.219754 417.783478 263.459765 42.757563
927.372223 447.023739 262.878031 42.790919
1405.697278 560.333390 262.434693 42.860292
1841.829787 574.923376 262.040441 42.866212
817.744833 679.628121 262.972305 42.942974
1399.951468 747.655688 262.438542 42.985385
177.515919 783.058716 263.549288 43.003036
1830.916424 951.109446 262.050490 43.125556
1258.817748 993.329220 262.565154 43.148858
1527.373358 1008.200040 262.321190 43.158912
455.807930 1053.556776 263.297287 43.188733
894.461507 1065.675297 262.897640 43.197671
665.143817 1107.432345 263.106853 43.225325
1901.362888 1119.224042 261.986588 43.240929
287.670938 1150.817222 263.449556 43.252749
816.264890 1179.938424 262.968642 43.273336
1366.854894 1224.045054 262.464878 43.301026
1306.812054 1238.239109 262.519511 43.310402
977.080996 1334.343892 262.820876 43.375076
634.294987 1355.353297 263.134819 43.389833
42.719057 1368.531136 263.672454 43.397211
1610.608448 1384.819717 262.241873 43.407995
734.981052 1400.201421 263.042693 43.419577
511.561367 1457.141642 263.247045 43.457441
2033.647637 1465.223333 261.863004 43.473253
2031.000571 1481.002394 261.864889 43.483144
1532.527085 1479.819226 262.311548 43.469609
1508.861103 1499.255828 262.332890 43.482290
1441.293771 1501.610024 262.394518 43.483804
94.092578 1525.289929 263.626997 43.500890
225.267243 1540.404590 263.507967 43.511579
1260.611635 1558.818365 262.559647 43.522430
51.810389 1606.022227 263.665517 43.553733
141.576573 1607.280492 263.584061 43.555219
993.353241 1609.987807 262.805189 43.558637
1351.121752 1646.583061 262.476073 43.580118
276.283066 1733.351941 263.461284 43.640141
1131.155625 1733.515030 262.678128 43.640673
161.503956 1737.087823 263.565546 43.641122
1337.765851 1816.795911 262.487795 43.694336
2013.618980 1928.778548 261.870422 43.763397
736.137505 1973.380776 263.040667 43.808485
1896.142958 2011.486858 261.976252 43.815622
