#x    y    median   stddev   snr
1558.176022 22.643264 207.371587 67.204779 3.085667
1467.639438 107.842462 59.816316 77.315856 0.773662
1199.500351 109.737011 291.956318 123.924852 2.355914
1793.384197 124.772527 182.128082 78.989397 2.305728
1415.435748 191.447523 488.798379 318.168201 1.536289
1977.031100 198.738725 166.168075 84.373933 1.969424
630.365580 223.156747 249.043864 99.549544 2.501708
1761.898595 233.869600 453.689699 220.389674 2.058580
82.974295 296.205742 234.453917 85.551186 2.740510
1938.838447 331.290186 270.223871 94.151236 2.870104
1847.939496 335.525890 335.730808 143.786689 2.334923
1189.752198 337.331964 223.326594 98.330875 2.271175
1414.503404 354.543972 989.785344 583.392703 1.696602
1929.166272 383.284393 638.837705 213.522717 2.991896
938.684176 403.306860 198.866774 109.542367 1.815433
1964.904451 410.145738 281.356260 128.977280 2.181440
291.219754 417.783478 202.461192 83.084626 2.436807
927.372223 447.023739 387.522966 208.775974 1.856166
1405.697278 560.333390 327.208675 181.773653 1.800089
1841.829787 574.923376 3251.525574 1438.985133 2.259596
817.744833 679.628121 104.824754 80.043670 1.309595
1399.951468 747.655688 203.356313 98.774280 2.058798
177.515919 783.058716 379.123125 125.860852 3.012240
1830.916424 951.109446 183.570730 73.085834 2.511714
1258.817748 993.329220 438.616240 236.550777 1.854216
1527.373358 1008.200040 221.636004 58.839849 3.766767
455.807930 1053.556776 310.777672 118.159103 2.630163
894.461507 1065.675297 456.821129 187.331798 2.438567
665.143817 1107.432345 970.102560 488.325986 1.986588
1901.362888 1119.224042 757.330069 288.736393 2.622912
287.670938 1150.817222 89.370294 76.196806 1.172888
816.264890 1179.938424 1489.540000 665.937258 2.236757
1366.854894 1224.045054 220.231457 87.742431 2.509977
1306.812054 1238.239109 2457.556910 1124.764759 2.184952
977.080996 1334.343892 288.656488 153.171180 1.884535
634.294987 1355.353297 378.857354 169.525417 2.234812
42.719057 1368.531136 5994.054117 3261.747408 1.837682
1610.608448 1384.819717 160.119331 64.708446 2.474473
734.981052 1400.201421 886.368747 412.360839 2.149498
511.561367 1457.141642 431.818536 221.360842 1.950745
2033.647637 1465.223333 333.045405 87.603399 3.801741
2031.000571 1481.002394 216.249501 52.926121 4.085875
1532.527085 1479.819226 3111.223867 1431.294523 2.173713
1508.861103 1499.255828 214.466756 95.010567 2.257294
1441.293771 1501.610024 293.077148 120.159331 2.439071
94.092578 1525.289929 4461.025775 2115.984941 2.108250
225.267243 1540.404590 1595.669681 799.695027 1.995348
1260.611635 1558.818365 200.465563 70.392629 2.847820
51.810389 1606.022227 306.471613 148.730624 2.060582
141.576573 1607.280492 219.171263 81.921233 2.675390
993.353241 1609.987807 4263.043350 1736.634351 2.454773
1351.121752 1646.583061 380.320879 119.616961 3.179490
276.283066 1733.351941 343.205187 199.652047 1.719017
1131.155625 1733.515030 727.076250 274.733283 2.646480
161.503956 1737.087823 301.750472 214.864513 1.404376
1337.765851 1816.795911 1862.132026 802.147985 2.321432
2013.618980 1928.778548 174.714965 60.765705 2.875223
736.137505 1973.380776 316.966153 114.756426 2.762078
1896.142958 2011.486858 854.721495 286.573171 2.982559
